user_id,item_id,rating,timestamp,title,genres,gender,age,occupation,zip
1,1193,5,978300760,One Flew Over the Cuckoo's Nest (1975),Drama,F,1,10,48067
1,661,3,978302109,James and the Giant Peach (1996),Animation|Children's|Musical,F,1,10,48067
1,914,3,978301968,My Fair Lady (1964),Musical|Romance,F,1,10,48067
1,3408,4,978300275,Erin Brockovich (2000),Drama,F,1,10,48067
1,2355,5,978824291,"Bug's Life, A (1998)",Animation|Children's|Comedy,F,1,10,48067
1,1197,3,978302268,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,F,1,10,48067
1,1287,5,978302039,Ben-Hur (1959),Action|Adventure|Drama,F,1,10,48067
1,2804,5,978300719,"Christmas Story, A (1983)",Comedy|Drama,F,1,10,48067
1,594,4,978302268,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,F,1,10,48067
1,919,4,978301368,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,F,1,10,48067
1,595,5,978824268,Beauty and the Beast (1991),Animation|Children's|Musical,F,1,10,48067
1,938,4,978301752,Gigi (1958),Musical,F,1,10,48067
1,2398,4,978302281,Miracle on 34th Street (1947),Drama,F,1,10,48067
1,2918,4,978302124,Ferris Bueller's Day Off (1986),Comedy,F,1,10,48067
1,1035,5,978301753,"Sound of Music, The (1965)",Musical,F,1,10,48067
1,2791,4,978302188,Airplane! (1980),Comedy,F,1,10,48067
1,2687,3,978824268,Tarzan (1999),Animation|Children's,F,1,10,48067
1,2018,4,978301777,Bambi (1942),Animation|Children's,F,1,10,48067
1,3105,5,978301713,Awakenings (1990),Drama,F,1,10,48067
1,2797,4,978302039,Big (1988),Comedy|Fantasy,F,1,10,48067
1,2321,3,978302205,Pleasantville (1998),Comedy,F,1,10,48067
1,720,3,978300760,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,F,1,10,48067
1,1270,5,978300055,Back to the Future (1985),Comedy|Sci-Fi,F,1,10,48067
1,527,5,978824195,Schindler's List (1993),Drama|War,F,1,10,48067
1,2340,3,978300103,Meet Joe Black (1998),Romance,F,1,10,48067
1,48,5,978824351,Pocahontas (1995),Animation|Children's|Musical|Romance,F,1,10,48067
1,1097,4,978301953,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,F,1,10,48067
1,1721,4,978300055,Titanic (1997),Drama|Romance,F,1,10,48067
1,1545,4,978824139,Ponette (1996),Drama,F,1,10,48067
1,745,3,978824268,"Close Shave, A (1995)",Animation|Comedy|Thriller,F,1,10,48067
1,2294,4,978824291,Antz (1998),Animation|Children's,F,1,10,48067
1,3186,4,978300019,"Girl, Interrupted (1999)",Drama,F,1,10,48067
